date,closeprice,volume
2018-03-06,,
2018-03-07,,
2018-03-08,,
2018-03-09,,
2018-03-12,,
2018-03-13,,
2018-03-14,,
2018-03-15,,
2018-03-16,,
2018-03-19,,
2018-03-20,,
2018-03-21,,
2018-03-22,,
2018-03-23,,
2018-03-26,,
2018-03-27,,
2018-03-28,,
2018-03-29,,
2018-03-30,,
2018-04-02,,
2018-04-03,,
2018-04-04,,
2018-04-09,,
2018-04-10,,
2018-04-11,,
2018-04-12,,
2018-04-13,,
2018-04-16,,
2018-04-17,,
2018-04-18,,
2018-04-19,,
2018-04-20,,
2018-04-23,,
2018-04-24,,
2018-04-25,,
2018-04-26,,
2018-04-27,,
2018-05-02,,
2018-05-03,,
2018-05-04,,
2018-05-07,,
2018-05-08,,
2018-05-09,,
2018-05-10,,
2018-05-11,,
2018-05-14,,
2018-05-15,,
2018-05-16,275.2,22.0
2018-05-17,273.8,20.0
2018-05-18,274.25,10.0
2018-05-21,273.5,0.0
2018-05-22,274.2,6.0
2018-05-23,274.4,6.0
2018-05-24,276.05,12.0
2018-05-25,277.35,4.0
2018-05-28,276.35,22.0
2018-05-29,277.5,8.0
2018-05-30,278.1,14.0
2018-05-31,278.7,18.0
2018-06-01,277.75,14.0
2018-06-04,276.55,26.0
2018-06-05,275.8,40.0
2018-06-06,276.65,14.0
2018-06-07,276.2,6.0
2018-06-08,276.2,4.0
2018-06-11,277.2,44.0
2018-06-12,276.7,10.0
2018-06-13,276.15,84.0
2018-06-14,277.15,60.0
2018-06-15,277.5,100.0
2018-06-19,275.3,84.0
2018-06-20,274.3,32.0
2018-06-21,273.5,62.0
2018-06-22,274.3,58.0
2018-06-25,275.3,164.0
2018-06-26,275.5,106.0
2018-06-27,275.45,82.0
2018-06-28,275.2,122.0
2018-06-29,275.35,34.0
2018-07-02,276.0,48.0
2018-07-03,276.0,82.0
2018-07-04,276.75,166.0
2018-07-05,276.95,60.0
2018-07-06,277.15,338.0
2018-07-09,276.95,3016.0
2018-07-10,275.65,268.0
2018-07-11,276.75,228.0
2018-07-12,276.0,218.0
2018-07-13,275.65,120.0
2018-07-16,276.1,64.0
2018-07-17,275.15,172.0
2018-07-18,273.05,360.0
2018-07-19,274.3,306.0
2018-07-20,274.7,538.0
2018-07-23,275.9,342.0
2018-07-24,275.8,338.0
2018-07-25,275.75,294.0
2018-07-26,276.05,278.0
2018-07-27,275.5,144.0
2018-07-30,275.6,512.0
2018-07-31,275.75,304.0
2018-08-01,275.55,182.0
2018-08-02,274.7,164.0
2018-08-03,274.15,600.0
2018-08-06,274.25,1074.0
2018-08-07,274.15,354.0
2018-08-08,273.5,622.0
2018-08-09,273.55,942.0
2018-08-10,273.45,536.0
2018-08-13,274.2,622.0
2018-08-14,271.75,902.0
2018-08-15,271.4,636.0
2018-08-16,268.05,1558.0
2018-08-17,267.55,654.0
2018-08-20,269.15,456.0
2018-08-21,270.5,332.0
2018-08-22,270.3,494.0
2018-08-23,270.25,690.0
2018-08-24,271.0,658.0
2018-08-27,271.45,650.0
2018-08-28,272.4,398.0
2018-08-29,271.05,586.0
2018-08-30,271.45,682.0
2018-08-31,271.8,944.0
2018-09-03,270.65,1030.0
2018-09-04,269.95,680.0
2018-09-05,269.55,1652.0
2018-09-06,270.45,1322.0
2018-09-07,271.25,1172.0
2018-09-10,270.55,1990.0
2018-09-11,271.15,542.0
2018-09-12,271.05,1274.0
2018-09-13,272.15,1052.0
2018-09-14,272.65,1410.0
2018-09-17,271.55,824.0
2018-09-18,271.85,1454.0
